"Time","E700000037D13721","FE0000003F68EB21","DA0000003F6FAB21","0E00000020891A21","4D00000036A31B21","8B000000208B2F21.x","ED00000037848A21.x","DA0000003F4EB921*","CA00000036AC8821","5E00000020823321*","B800000035877821","2B0000005A282D21","6F0000005A24F521","710000003F558421","39000000377E8021","970000005ACF2C21","0E0000005AB0CA21","2A0000005AB2F721","780000005AB64A21","E70000005ABD6921","EF0000005AB7DF21","4D0000005AAF0021","3D0000005AC16021","D70000005AC83121","C60000005AB9A121","850000005ABD0121","A20000005AB44921","A90000005AB3DC21","000000005AA8F221","280000005AAAA521","430000005AAF7921","040000005AB94421","A40000005ACF0B21*","3C0000005AB63E21","120000005ABC9421","850000005AA12421","580000005AC97021","080000005AC63D21","7E0000005AAD1521","B20000005AC13821","0D0000005AC91921","210000005ACC2721","470000005AC4A121","1E0000005AAB3821","9D0000005ACF7321","F20000005AA72121","2D0000005AAE6221","750000005AC9B621","050000005AAD2C21","5F0000005AA32721","2E0000005AB7AC21","510000005AA07521","DF0000005ACB5621","900000005AA65021","610000005ABDF821","B10000005A9FAF21","780000005ABF9B21","1C0000005AC3FE21","4A0000005AB7F121","A80000005AA2C921","820000005AB11D21","3E0000005ACF6821","2C0000005AC51921","650000005ABFEC21","970000005AAF3121","070000005AC6C121","980000005AC43321","3F0000005AC34121","870000005A9E3221","C80000005A9F8521","340000005ACB5321","410000005AA2DF21","B10000005A9EB621","7D0000005AB4DB21","AC0000005ACB2321","790000005A9E0C21","EB0000005AC44621","730000005ABC6A21","A20000005ACD0C21","620000005AB79421","F80000005ACFAB21","480000005ABC0121","600000005ABC6421","320000005AB8D921","910000005AA7CC21","9F0000005AC82F21","270000005ABBC921","610000005AB04D21","8E0000005AB63821","EA0000005AB8FB21","FC0000005AADA221","D20000005AADF221","970000005AA7F921","9E0000005AC9B321","080000005AA62021","800000005AB10E21","D40000005A9D4521","060000005ABC2A21","A40000005AC84421","180000005AA59321","E70000005AB90D21","160000005AC3A121","260000005AA8EE21","390000005AAFC521","CF0000005ABB5A21","0A0000005AC62E21","B80000005AC16721","C10000005AAFCE21","930000005AAC3C21","020000005ABE3E21","7E0000005ABFAE21","7E0000005AB21B21","080000005AC34021","C40000005AC1EE21","740000005ABB9521","110000005ACD8F21","430000005AA0FE21","0B0000005AC6AB21","AF0000005ABE5C21","660000005ACEF721","630000005AC1D321","1B0000005AAA8221","B00000005AC12B21","7D0000005AC13221","770000005ACA8E21","5C0000005ACD3221","B50000005AAD3921","F70000005AC90121","250000005AC5D021","4C0000005AADB721","C20000005AC69421","3C0000005ACE6221","1A0000005AAB1E21","8F0000005AB7A421","A60000005AAC2E21","670000005AB16121*","E30000005ACEF021","420000005AC51B21","960000005AAEAD21","270000005AC1A721","480000005AA67221","F20000005AC41721","F00000005ABF7321","EF0000005AA33221","510000005ACEF621","F30000005AA3C021","040000005AC65721","D90000005ABCB821","A50000005ACAF321","EC0000005AAD3A21","D40000005AB3D021","C80000005ACE0321","2D0000005AA58121","280000005AA71021","AE0000005AAC6221","B70000005AA94E21","180000005ACC5F21","390000005ACBBC21*","B60000005AAF9D21","A10000005AA20021","DE0000005AC77F21","FD0000005AB64D21","BF0000005AA79C21","EE0000005AA85421","5C0000005AD11721","4D0000005AC4FE21","500000005AA92121","AC0000005AC2F221","E30000005AB0FA21","1B0000005AC40121","C20000005AC2F021","D00000005A9E4821","910000005ACC3221*","770000005ABD5521","B70000005ABF9121","E90000005AC54C21","220000005AC56021","990000005AC2E021","7B0000005AB7C521","7C0000005ACD1B21","4C0000005ABA7121","8B0000005AA53921","E20000005AB73021","000000005ACD9221","2B0000005AAF4E21","F10000005AA92921","6C0000005AA9FA21","470000005AC5B821","630000005AB43A21","1B0000005AB58C21","E80000005AAE3721","DE0000005ACBD321","8B000000208B2F21.y","ED00000037848A21.y"
2024-08-02 08:10:00,19.5,19,18.5,19,18.5,18.5,18.5,18.5,19,19,19,18.5,19,19.5,19,18.5,19,19.5,19,19,19.5,18.5,19.5,19,19,19,19.5,19.5,19,19,19.5,18.5,19,18.5,18.5,19,18.5,19.5,19,19,19.5,19,19.5,19,19,19.5,19,19,18.5,19.5,18.5,19.5,19,19.5,19.5,19,19,19,18.5,19,19,19,18.5,19,18.5,18.5,18.5,19,19,19,19.5,19.5,20,18.5,19,19.5,19,19.5,19,19,19,19,19,18.5,19.5,19.5,19,19,18.5,19.5,19,19,19.5,19,19.5,19,19.5,19,19,19,19.5,19.5,19,20,19,19.5,19,19.5,19,19,19.5,19,19,18.5,19,19,19.5,18.5,19,19.5,19,19.5,19.5,20,19,19,19.5,19,19,19,19,19,19.5,19,19,19,19,19,19.5,19,18.5,19.5,19,19,19,19,19,19,19,19,19,19.5,19.5,18.5,19.5,19,19,19.5,18.5,19,19,19,19,18.5,19.5,19,19,19,19,19.5,19.5,18.5,19,19.5,19.5,19,18.5,19.5,19,18.5,19.5,19,19,19.5,18.5,19,19,19,19,19,23,23,18.5,18.5
2024-08-02 08:15:00,19.5,19.5,19,19,19,21,18.5,18.5,19,20.5,19.5,18.5,19,19.5,19,19,19,19.5,19,19,19.5,19,19.5,19.5,19,19,19.5,19.5,19.5,19,19.5,19,19,19.5,18.5,19.5,19,19.5,19,19,20,19,19.5,19,21,19.5,19,20.5,19,19.5,19,19.5,19,19.5,19.5,19,19.5,19.5,18.5,19,19.5,19,18.5,19.5,19,19,19,19,19,19.5,19.5,19.5,20,19,19.5,19.5,19.5,19.5,19.5,19,19,19,19,19,19.5,19.5,19,19.5,18.5,19.5,19.5,19,19.5,19,20,19.5,19.5,19.5,19.5,19.5,19.5,19.5,19,20,19,19.5,19,20,19,19.5,19.5,19,19,19,19,19.5,19.5,18.5,19,19.5,19.5,19.5,19.5,20,19.5,19,19.5,19,19.5,19.5,19.5,19,19.5,19,19.5,19,19.5,19,19.5,19.5,19,19.5,19,19.5,19,19.5,19,19,19,19,19,19.5,19.5,19,19.5,19,19,19.5,18.5,19.5,20.5,19,19.5,19,19.5,19,19.5,19.5,19,19.5,19.5,19,19,19.5,20,19,19,19.5,19.5,19,19.5,19,19.5,19.5,18.5,19.5,19,19,19,19,23,23,21,18.5
2024-08-02 08:20:00,19.5,19.5,19,19.5,19,19.5,19,18.5,19,19.5,19.5,18.5,19,19.5,19,19,19,19.5,19,19,19.5,19,19.5,19.5,19,19,19.5,19.5,19.5,19,19.5,19,19.5,19.5,18.5,19.5,19,19.5,19,19,20,19,19.5,19,20.5,20,19,20,19,19.5,19,19.5,19,19.5,19.5,19,19.5,19.5,19,19,19.5,19,19,19.5,19,19,19,19.5,19,19.5,19.5,19.5,20,19,19.5,19.5,19.5,19.5,19.5,19,19.5,19,19,19,19.5,19.5,19,19.5,18.5,20,19.5,19,20,19.5,20,19.5,20,19.5,19.5,20,19.5,19.5,19,20,19.5,20,19.5,20,19,19.5,19.5,19,19.5,19,19.5,19.5,19.5,19,19.5,19.5,19.5,19.5,19.5,20,19.5,19,20,19,19.5,19.5,20,19,19.5,19,19.5,19,19.5,19.5,19.5,19.5,19,19.5,19.5,19.5,19,19.5,19,19,19.5,19,19,20,19.5,19,19.5,19,19,19.5,19,19.5,20.5,19.5,19.5,19,19.5,19,19.5,19.5,19,19.5,19.5,19,19,19.5,19.5,19,19,19.5,19.5,19,19.5,19,19,19.5,19,19.5,19,19,19.5,19,23,23,19.5,19
2024-08-02 08:25:00,20,20.5,19,19.5,19.5,19.5,19,18.5,19,20,19.5,18.5,20,20,19,19.5,20,20.5,19.5,19.5,20.5,19,20,20,19,19.5,19.5,19.5,20,19.5,20.5,19.5,19.5,19.5,18.5,19.5,19,19.5,19,19.5,20,19.5,20,19.5,20.5,20.5,19.5,20,19,20,19.5,21,19,20,19.5,19,20,20.5,19,20.5,19.5,20,19,20,19.5,19,19,20.5,19.5,20,20,21,20,19,20.5,20,20,20,19.5,19.5,19.5,19.5,19,19.5,20,20.5,19.5,21,19,21,19.5,19.5,20.5,19.5,20,20,20.5,20.5,20,20,21,20,20,20.5,19.5,20,20,20.5,19,20.5,19.5,19.5,19.5,19,19.5,20,20,19,19.5,20,19.5,19.5,20,20,19.5,19,20,19.5,20,20,20.5,19,19.5,19.5,19.5,19.5,19.5,19.5,20,19.5,19.5,20,19.5,20,20.5,20,20.5,19.5,19.5,20.5,19,20.5,20,20.5,20,19.5,19,20,19,19.5,20.5,20,20,20,20,19.5,20,19.5,20.5,20,20,19.5,19.5,20,20,19.5,19.5,20.5,20,19.5,20.5,19.5,19.5,20,19.5,20.5,19.5,19.5,19.5,20,23,23,19.5,19
2024-08-02 08:30:00,20,20.5,19.5,20,20,19.5,19.5,19,19.5,20.5,20,19,20,20.5,19.5,19.5,20,20.5,20,20,20.5,19,20,20.5,19.5,19.5,20,19.5,20.5,20,20.5,20,20,20,19,20,19.5,20,19.5,19.5,20.5,20,20.5,20,21,20.5,19.5,20,19.5,20,20,21,19.5,20,20,19.5,20.5,20.5,19,20.5,19.5,20.5,19.5,20,20,19.5,19.5,20.5,20,20,20.5,21,20.5,19,20.5,20.5,20.5,20,20,20,19.5,19.5,19.5,19.5,20,20.5,20,21,19,21,20,19.5,21,20,20.5,20,21,20.5,20,20,21,20.5,20,20.5,20,20,20.5,20.5,19.5,21,20,19.5,19.5,19.5,19.5,20.5,20.5,19.5,20,20.5,20,20,20.5,20.5,20,19,20,20,20.5,20,21,19.5,20,19.5,19.5,20,20,20,20,20,20,20,19.5,20.5,20.5,20.5,20,20,20,20.5,19.5,20.5,20,20.5,20.5,19.5,19.5,20,19,20,20.5,20,20.5,20.5,20.5,19.5,20,20,20.5,20,20.5,20,19.5,20,20.5,20,20,20.5,20.5,20,20.5,19.5,20,20.5,20,20.5,20,20,20,20,22.5,22.5,19.5,19.5
2024-08-02 08:35:00,20.5,20.5,20,20,20,19.5,19.5,19,19.5,20.5,20,19,20,20.5,19.5,20,20,21.5,20,20,21,19,20,21,19.5,19.5,20,19.5,21,20,21,20,20,20,19,20.5,19.5,20,20,19.5,21,20,20.5,20,21,20,19.5,20.5,19.5,20,20,21,19.5,20,20,19.5,20.5,20.5,19.5,20.5,20,20.5,20,20.5,20.5,20,20,21,20.5,20,20.5,21,20.5,19.5,20.5,20.5,21,20.5,20.5,20,20,20,19.5,20,20.5,21,20,21,19.5,21,20,20,21,20,20.5,20.5,21,20.5,20.5,20.5,21,20.5,20,21,20,20,20.5,21,19.5,21,20,20,20,19.5,20,20.5,21,19.5,20.5,20.5,20,20,21,20.5,20,19,20.5,20,21,20.5,21,19.5,20,19.5,20,20,20,20,20.5,20.5,20,20.5,20,20.5,20.5,21,20,20.5,20,20.5,20,20.5,20,20.5,21,20,19.5,20.5,19.5,20.5,20.5,20,20.5,20.5,20.5,20,20.5,20,20.5,20.5,20.5,20,19.5,20.5,20.5,20.5,20,20.5,20.5,20,20.5,20,20.5,21,20,21,20,20,20.5,20,22,22,19.5,19.5
2024-08-02 08:40:00,19.5,20,19.5,19.5,19.5,18.5,19.5,19.5,19.5,19,19,19,19.5,19.5,19.5,19.5,19,20,19.5,19.5,20,19.5,20,20,19.5,19.5,20,19.5,20,19.5,19.5,19.5,19,19,19,19.5,19,20,19.5,19.5,20,20,19.5,20,20,19,19.5,19.5,19.5,20,19.5,20.5,19.5,19.5,19.5,19.5,19.5,20,19.5,19.5,19.5,20,19.5,20,19.5,19.5,19.5,20,20,19.5,20,19.5,20.5,19.5,19.5,20.5,19.5,20.5,19.5,19.5,20,20,19.5,19.5,20,19.5,20,20,19,20.5,19,19.5,20,19.5,20,19.5,20,19.5,19.5,20,20.5,20,19,20,19.5,19.5,20,20,19.5,20,20,19.5,19.5,19.5,20,20,20,19.5,20,20,20,20,20,20,20,19.5,20,20,20,20,20.5,20,19.5,19.5,20,19.5,19.5,20,20,20.5,19.5,19.5,20,20,19.5,19.5,19.5,20,20,19.5,19.5,20,20,19,20,19.5,19,20,19.5,20,19.5,19.5,19.5,20,19.5,19.5,19.5,19.5,20,19.5,19.5,19.5,19,20,19.5,20,19.5,20,20,19.5,19.5,19.5,19.5,20,19.5,20,20,19.5,19.5,19.5,24,23,18.5,19.5
2024-08-02 08:45:00,19,18.5,18.5,18.5,18.5,18.5,19.5,19.5,19,18,18.5,18,18,19,18,18.5,18,19,18.5,18.5,19,19,19.5,19.5,19,18.5,19,19.5,19.5,18.5,18.5,18.5,19,18.5,19,18,18,19,19,19,19,20,18,19.5,19,19,19,18,18.5,19.5,18.5,18.5,18.5,18.5,19.5,18.5,18.5,18.5,18.5,18,18.5,18.5,18.5,18.5,18,18.5,19,19,19,19,19,19,20,19,19,20,19,20,18,18.5,19,18.5,19,18.5,19,18.5,19.5,19,18,20.5,18.5,19,18.5,19,19,18.5,19.5,18.5,18.5,19,20,19,18,19,19,18.5,19,19.5,18.5,18.5,19,19,19,18.5,19,18.5,19.5,18.5,19,20,20,19.5,20,20,19,18.5,19.5,20,19.5,19,19,18.5,18.5,18.5,19.5,19,19,19,19.5,19.5,18.5,19,19,19.5,18,18.5,19,19.5,19.5,18.5,18.5,19.5,19.5,18,19.5,19,18,19,19,19,18.5,18.5,19,19,18.5,18.5,18.5,18.5,19,18.5,19,18.5,18.5,19,18.5,19,18.5,18.5,19,18.5,18.5,19,18,18.5,18.5,19,19,18.5,18.5,19,22.5,22,18.5,19.5
2024-08-02 08:50:00,19,18.5,18.5,18,18,18.5,19.5,19,19,17.5,18.5,18,18,19,18,18,18,18.5,18.5,18.5,19,19,19.5,19.5,19.5,18.5,19.5,19.5,19.5,18.5,18.5,19,19,19,19,18,18.5,18.5,19,18.5,19,20,18.5,19.5,19,19,19,18,18,19.5,18,18.5,19,18.5,19.5,19,19,18,18,18,18,18,19,18.5,18.5,18.5,19,19,18.5,19.5,19,19,20,19.5,19.5,20,19.5,20,18,18.5,19,18.5,19,18,19.5,19,19,19,18,20.5,19,18.5,18.5,19,19,19,19.5,18.5,18.5,19,20,18.5,18,18.5,19,18.5,19,19.5,18.5,18.5,18.5,19,19,18,18.5,18.5,19.5,18.5,18.5,20,20.5,19.5,20,20,19,18.5,19.5,20,19.5,19,19,18.5,18.5,18.5,19.5,19,19,19.5,19.5,19.5,19,18.5,19.5,19.5,18,18,19,19.5,19.5,18.5,18.5,19.5,20,18.5,19.5,19,18.5,18.5,19.5,19.5,18,18.5,19,18.5,18.5,18.5,18,18.5,19,18.5,18.5,18,18.5,19,19,19,18.5,18.5,18.5,18.5,18.5,19.5,18.5,18.5,18,18.5,19,18,18.5,18.5,21.5,21,18.5,19.5
2024-08-02 08:55:00,19,18.5,18.5,18,18,19,20,19,19.5,18,18.5,17.5,18,19,18,18,18,18.5,19,19,19,19.5,20,19.5,19.5,18.5,19.5,19.5,19.5,18.5,19,19,19.5,19,19.5,18,18.5,18.5,19,18.5,19,20,18.5,20,19,19.5,19.5,18,18.5,19.5,18,18.5,19,19,19.5,18.5,19,18.5,18,18,18,18.5,19,18.5,19,19,19,19,18.5,19.5,19.5,19.5,20,19.5,19.5,20,19.5,20,18.5,18.5,19,18.5,19.5,18.5,19.5,19,19.5,19,18,20.5,19,18.5,18.5,19,19,19,20,19,18.5,19,20,19,18.5,18.5,19.5,19,19,19.5,18.5,18.5,18.5,19.5,19.5,18,18.5,18.5,19.5,18.5,18.5,20.5,20.5,19.5,20,20,19.5,18.5,19.5,20,19.5,19,19,18.5,19,18.5,19.5,19,19,19.5,19.5,19.5,19,18.5,20,20,18,18,19.5,19.5,20,19,18.5,19.5,19.5,18.5,19.5,19,18.5,18.5,19.5,20,18,19,19.5,18.5,19,18.5,18.5,18.5,19,18.5,18.5,18.5,19,19,19,19,18.5,19,18.5,18.5,19,19.5,18.5,18.5,18.5,18.5,19,18.5,18.5,18.5,21,21,19,20
2024-08-02 09:00:00,19.5,18.5,18.5,18,18,19,20,19,19.5,18.5,18.5,18,18,19.5,18.5,18.5,18.5,18.5,19,19,19.5,19.5,20,20,19.5,19,19,20,19.5,18.5,19,19.5,19.5,19,19.5,18,18.5,18.5,19,18.5,19,20,18.5,20,19.5,19.5,19.5,18.5,18.5,19.5,18,18.5,19.5,19,19.5,19,19,18.5,18.5,18.5,18.5,18.5,19,19,19,19,19.5,19,19,19.5,19.5,19.5,20,19.5,19.5,20,20,20,18.5,18.5,19,19,19.5,18.5,19.5,19,19.5,19.5,18,20.5,19.5,18.5,19,19,19.5,19.5,20,19,19,19.5,20,19,18.5,18.5,19.5,19,19,20,19,18.5,18.5,19.5,19.5,18,19,18.5,20,18.5,18.5,20.5,20,19.5,20,20,19.5,18.5,19.5,20,19.5,19,19.5,18.5,19,18.5,19.5,19,19.5,19.5,19.5,19.5,19.5,18.5,20,20,18,18.5,19.5,19.5,20,19,18.5,19.5,19.5,18.5,19.5,19.5,19,19,19.5,20,18.5,19,19.5,19,19,18.5,18.5,18.5,19,18.5,18.5,18,19,19,19,19,19,19,18.5,18.5,19,19.5,18.5,18.5,18.5,19,19,18.5,18.5,18,21,20.5,19,20
2024-08-02 09:05:00,19.5,18.5,18.5,18,18.5,19,20,19,19.5,18.5,18.5,18,18.5,19.5,18.5,18.5,18.5,19,19,19,19.5,19.5,20,20,20,19,19.5,20,19.5,18.5,19,19.5,19.5,19,19.5,18.5,18.5,18.5,19.5,18.5,19,19.5,19,20,19.5,20,19.5,18.5,19,19.5,18,19,19.5,19.5,19.5,19,19.5,18.5,18.5,18.5,18.5,18.5,19,19,19,19,19.5,19,19,19.5,19.5,19.5,20,19.5,19.5,20,20,19.5,18.5,19,19,19.5,19.5,18.5,20,19,19.5,19.5,18,20,19.5,18.5,19,19,19.5,19.5,20,19,19,19.5,19.5,19,19,18.5,19.5,19,19.5,20,19,18.5,18.5,19.5,20,18.5,19,19,20,19,18.5,20.5,20,19.5,20,20,19.5,18.5,19.5,20,19.5,19,19.5,19,19.5,19,19.5,18.5,19.5,19.5,19.5,19.5,19.5,18.5,20,20,18,18.5,19.5,19.5,20,19.5,18.5,20,19.5,18.5,19.5,19.5,19,19,19.5,20,19,19,19.5,19,19,18.5,18.5,18.5,19.5,19,18.5,18,19,19,19,19,19,19,18,18.5,19,19.5,19,18.5,19,19,19,19,18.5,18,20.5,20.5,19,20
2024-08-02 09:10:00,20,18.5,18.5,18,18.5,19,20,19.5,19.5,19,19,18,18.5,19.5,19,18.5,19,19,19.5,19.5,20,19.5,20,20,20,19,19.5,20,19.5,19,19,19.5,20,19.5,19.5,19,18.5,19,19.5,19,19.5,20,19.5,20,19.5,20,20,18.5,19.5,20,18.5,19,19.5,19.5,20,19.5,19.5,19,19,19,19,18.5,19.5,19.5,19.5,19.5,19.5,19,19,19.5,20,20,20,19.5,20,20,20,20,19,19,19,19.5,20,19,20,19,19.5,19.5,18.5,20,19.5,18.5,19,19.5,19.5,19.5,20,19.5,19,19.5,20,19.5,19,19,19.5,19.5,19.5,20,19,18.5,19,19.5,20,18.5,19,19,20,19,19,20.5,20.5,20,20,20,19.5,19,19.5,20.5,20,19.5,19.5,19,19.5,19,19.5,19,19.5,19.5,19.5,20,19.5,18.5,20.5,20,18,18.5,19.5,19.5,20,19.5,19,20,19.5,19,20,19.5,19.5,19.5,20,20,19.5,19.5,19.5,19,19.5,18.5,19,19,19.5,19,18.5,18.5,19,19,19,19.5,19.5,19.5,18.5,19,19,20,19,18.5,19,19.5,19.5,19,18.5,18,20.5,20.5,19,20
2024-08-02 09:15:00,20,19,19,18.5,19,19,20,19.5,20,19,19.5,18.5,19,20,19.5,19,19.5,19.5,19.5,19.5,20,20,20,20,20,19.5,19.5,20,20,19.5,19.5,20,20,19.5,20,19,19,19,19.5,19,19.5,20,19.5,20.5,20,20,20,19,19.5,20,19,19.5,20,20,20,19.5,20,19,19,19,19.5,19,19.5,19.5,19.5,19.5,19.5,19.5,19.5,20,20,20,20.5,20,20,20,20,20,19.5,19.5,19.5,20,20,19.5,20,19.5,20,20,19,20.5,20,19,19.5,19.5,20,20,20.5,19.5,19.5,20,20,19.5,19.5,19.5,20,20,20,20,19.5,19,19.5,20,20,19,19.5,19.5,20,19,19,20.5,20.5,20,20,20.5,20,19,20,20.5,20,19.5,20,19.5,20,19.5,20,19.5,19.5,20,20,20,20,19,20.5,20.5,18.5,19,19.5,20,20.5,20,19.5,20,20,19.5,20,20,19.5,19.5,20,20.5,19.5,19.5,20,19.5,19.5,19,19,19.5,19.5,19.5,19,18.5,19.5,19.5,19.5,19.5,19.5,20,19,19,19.5,20,19.5,19,19.5,19.5,19.5,19.5,19,18.5,21,21,19,20
2024-08-02 09:20:00,20,19.5,19.5,18.5,19.5,19.5,20,20,20,19.5,20,19,19.5,20,20,19.5,19.5,20,20,20,20,20,20.5,20.5,20.5,19.5,20,20,20,19.5,20,20,20,20,20,19.5,19,19.5,20,19.5,20,20.5,20,20.5,20,20.5,20,19.5,20,20.5,19,20,20.5,20,20,20,20,19.5,19.5,19.5,19.5,19.5,20,20,19.5,20,20,20,19.5,20,20,20.5,20.5,20,20,20.5,20.5,20,19.5,19.5,19.5,20,20,19.5,20.5,20,20,20,19.5,20.5,20,19,20,20,20,20,20.5,20,19.5,20,20.5,20,19.5,19.5,20,20,20,20.5,20,19.5,19.5,20,20.5,19.5,20,19.5,20.5,19.5,19.5,21,20.5,20,20.5,20.5,20,19.5,20,20.5,20,20,20,19.5,20,19.5,20.5,19.5,20,20,20,20,20,19,20.5,20.5,19,19,20,20,20.5,20,19.5,20,20,19.5,20.5,20,20,20,20,20.5,20,20,20,19.5,20,19.5,19.5,19.5,20,20,19,19,20,19.5,20,20,20,20,19,19.5,20,20,20,19.5,19.5,20,20,20,19.5,19,21,21.5,19.5,20
2024-08-02 09:25:00,20.5,19.5,19.5,19,19.5,19.5,20.5,20,20.5,19.5,20,19.5,19.5,20,20,19.5,19.5,20,20,20,20.5,20.5,20.5,20.5,20.5,20,20.5,20.5,20,20,20,20,20.5,20,20,19.5,19.5,19.5,20,19.5,20,20.5,20,20.5,20.5,20.5,20.5,19.5,20,20.5,19.5,20,20.5,20.5,20.5,20,20,20,19.5,20,20,19.5,20,20,20,20,20,20,20,20.5,20.5,20.5,21,20.5,20.5,20.5,20.5,20.5,20,20,20,20.5,20.5,20,20.5,20,20.5,20.5,20,21,20.5,19.5,20,20,20,20.5,20.5,20,20,20.5,20.5,20,20,19.5,20.5,20,20.5,20.5,20,19.5,20,20.5,20.5,19.5,20,20,20.5,19.5,19.5,21,21,20.5,20.5,21,20.5,19.5,20.5,21,20.5,20,20.5,20,20.5,20,20.5,20,20,20.5,20,20.5,20,19.5,20.5,21,19,19.5,20,20.5,20.5,20.5,20,20.5,20,20,20.5,20.5,20,20.5,20.5,20.5,20,20,20.5,20,20,19.5,20,20,20,20,19.5,19,20,20,20,20,20,20,19.5,20,20,20.5,20,19.5,20,20,20,20,19.5,19,21.5,22,19.5,20.5
2024-08-02 09:30:00,20.5,20,19.5,19,19.5,19.5,20.5,20,20.5,20,20,19.5,20,20.5,20,20,20,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20,20.5,20.5,20.5,20,20,20,20.5,20,20.5,20,20,20,20,20,20.5,20.5,20.5,21,20.5,21,20.5,20,20.5,20.5,19.5,20.5,20.5,20.5,20.5,20,20.5,20,20,20,20,20,20,20,20,20,20,20.5,20,20.5,20.5,20.5,21,20.5,20.5,20.5,20.5,20.5,20.5,20,20,20.5,20.5,20,21,20.5,20.5,20.5,20,21,20.5,19.5,20.5,20,20.5,20.5,21,20,20,20.5,20.5,20,20,20,20.5,20.5,20.5,21,20.5,20,20,20.5,20.5,20,20.5,20,21,20,20,21,21,20.5,21,21,20.5,20,20.5,21,20.5,20,20.5,20,20.5,20,20.5,20,20.5,20.5,20.5,20.5,20,19.5,21,21,19.5,19.5,20.5,20.5,21,20.5,20,20.5,20.5,20,20.5,20.5,20.5,20.5,20.5,21,20.5,20.5,20.5,20,20.5,20,20,20,20,20.5,19.5,19.5,20,20,20,20,20.5,20.5,19.5,20,20.5,20.5,20,20,20,20.5,20,20.5,20,19.5,21.5,22,19.5,20.5
2024-08-02 09:35:00,20.5,20,20,19,20,19.5,20.5,20.5,20.5,20,20.5,19.5,20,20.5,20.5,20,20,20.5,20.5,20.5,20.5,20.5,21,21,20.5,20,20.5,20.5,20.5,20,20.5,20.5,20.5,20.5,20.5,20,20,20,20.5,20,20.5,21,20.5,21,20.5,21,20.5,20,20.5,21,20,20.5,20.5,21,20.5,20.5,20.5,20.5,20,20,20.5,20,20.5,20.5,20,20.5,20.5,20.5,20.5,20.5,21,21,21,20.5,20.5,21,21,20.5,20.5,20,20.5,20.5,20.5,20.5,21,20.5,20.5,20.5,20,21,20.5,20,20.5,20.5,20.5,20.5,21,20.5,20,20.5,21,20.5,20,20,20.5,20.5,20.5,21,20.5,20,20,20.5,21,20,20.5,20,21,20,20,21,21,20.5,21,21,20.5,20,20.5,21,20.5,20.5,21,20.5,20.5,20,21,20,20.5,20.5,20.5,20.5,20.5,19.5,21,21,19.5,19.5,20.5,20.5,21,20.5,20.5,20.5,20.5,20.5,21,20.5,20.5,21,20.5,21,20.5,20.5,20.5,20,20.5,20,20,20.5,20,20.5,20,19.5,20.5,20,20.5,20.5,20.5,20.5,19.5,20,20.5,20.5,20.5,20,20,20.5,20.5,20.5,20,19.5,22,22.5,19.5,20.5
2024-08-02 09:40:00,20.5,20,20,19,20,20,20.5,20.5,20.5,20,20.5,20,20,20.5,20.5,20.5,20,21,20.5,20.5,21,20.5,21,21,21,20.5,21,21,20.5,20.5,20.5,20.5,21,20.5,20.5,20.5,20.5,20.5,20.5,20,20.5,21,20.5,21,21,21,20.5,20,20.5,21,20,20.5,21,21,21,20.5,20.5,20.5,20.5,20.5,20.5,20,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,21,21,21.5,20.5,20.5,21,21,21,20.5,20.5,20.5,21,21,20.5,21,21,21,20.5,20.5,21,21,20,20.5,20.5,21,20.5,21,20.5,20.5,21,21,20.5,20.5,20,21,20.5,21,21,21,20,20.5,20.5,21,20,20.5,20,21,20,20,21,21,21,21,21,21,20,21,21,21,20.5,21,20.5,21,20.5,21,20.5,20.5,21,20.5,21,20.5,20,21,21,19.5,20,20.5,21,21,21,20.5,21,20.5,20.5,21,20.5,20.5,21,20.5,21,20.5,20.5,20.5,20,20.5,20.5,20.5,21,20.5,20.5,20,19.5,20.5,20,20.5,20.5,20.5,20.5,19.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,19.5,22,22.5,20,20.5
2024-08-02 09:45:00,21,20.5,20.5,19.5,20,20,21,20.5,21,20.5,20.5,20,20.5,20.5,20.5,20.5,20.5,21,21,21,21,21,21,21,21,20.5,21,21,21,20.5,21,20.5,21,20.5,20.5,20.5,20.5,20.5,21,20.5,21,21,21,21,21,21,21,20.5,21,21,20,21,21,21.5,21,20.5,21,20.5,20.5,20.5,20.5,20.5,20.5,21,20.5,20.5,20.5,21,21,21,21,21,21.5,21,20.5,21,21,21,21,20.5,21,21,21,21,21.5,21,21,21,20.5,21.5,21,20,21,20.5,21,21,21.5,20.5,20.5,21,21,20.5,20.5,20.5,21,21,21,21,21,20.5,20.5,21,21,20.5,21,20.5,21,20.5,20.5,21.5,21.5,21,21.5,21.5,21,20.5,21,21.5,21,20.5,21,21,21,20.5,21,20.5,21,21,21,21,20.5,20,21,21.5,19.5,20,21,21,21,21,20.5,21,21,20.5,21,21,20.5,21.5,21,21,21,20.5,21,20.5,21,20.5,20.5,21,20.5,20.5,20.5,19.5,20.5,20.5,21,20.5,21,21,20,20.5,20.5,21,20.5,20.5,20.5,21,20.5,20.5,20.5,20,22.5,22.5,20,21
