"Time","A60000005A029721","750000005A15A921","0600000060250221","A3000000603F5F21","30000000207A4121","630000003F716021","820000005ACC3C21","840000005AC5D821","E20000005ABFF821","760000005ACE6F21","F80000005AA77E21","610000005ABED321*","A90000005ACFE421","8A0000005ACD6921","AD0000005AB81921","3D0000005AC62F21","A50000005ABD2821","520000005AA82B21","2F0000005AD16221","1C0000005AA1D121*","090000005A9EEF21","670000005AD06521","980000005AAFCD21","C70000005AA24E21","190000005ACFF121","880000005A9CFC21","640000005ACCD621","0E0000005AB69C21","2C0000005ABD4521","A20000005AD12921","FF0000005AB9D921","C10000005ACAAE21","090000005AA6A521","060000005AB08621","F50000005ACC6F21","BB0000005AC2DA21","DB0000005AB11E21","8C0000005ABB9E21","D40000005AC51221","690000005AB11821","CB0000005ACE9521","A60000005ABE9521","6E0000005AA12121","4C0000005AC9CE21","990000005ABFC121","320000005AC08521","E20000005AC1F221","4F0000005AB9CC21","9A0000005ACABE21","E80000005AC1AD21","4C0000005AAE9C21","D50000005AA2C521","200000005AC11721","8D0000005ACDD921","110000005ABB4D21","550000005AA05321","340000005AB13D21","970000005AA4D221","ED0000005AA8C221","750000005A9F7F21","E30000005AA9A221","350000005AA76721","FC0000005AAE8921","DF0000005AAC0421","B00000005AC8FA21","BD0000005AB88121","490000005AC1A521","910000005AAD3621","8D0000005AA24321","B30000005AB45421","B50000005AC85921","830000005AC33E21*","B90000005ACD4E21","FB0000005ABD9B21","070000005AAA7021","110000005AAC8B21","8D0000005AAEEF21","C10000005AA88121","6F0000005AC38B21","DC0000005AAC9221","470000005AA79721","DC0000005ACFA421","A60000005AC6C921","240000005ABE2221","6F0000005AD13021","940000005ABB4A21","CE0000005AA96421","5A0000005AB02621","FE0000005AC75621","8A0000005AA4A521","F20000005AD0FA21","310000005AACA221","230000005ACE0621","D30000005ABED521","2B0000005AB27221","220000005AD09421","1A0000005AA6AB21","DA0000005AA65D21","F20000005AA63821","AF0000005AA99A21*","CA0000005AB01A21","950000005AB30721","4C0000005AB5F621","F10000005AA6AE21","360000005ABFB021","420000005AB6A421","F50000005AA79121","280000005ACEDC21","0E0000005AC37521","FE0000005A9D3321","420000005AA07B21","1C0000005AB61721","DD0000005AA0BB21","150000005AA8C921","9D0000005ABCCC21","4C0000005AD09621","8C0000005A9EE821","4A0000005ACBC921","F90000005AC97821","DD0000005ACB4521","560000005AA80D21","D30000005AAF4521*","A30000005ACFBB21","C80000005AA19921","7A0000005AAB6521","3B0000005AB68E21","930000005AAF1721","0F0000005AC79421","940000005AA02021","F60000005ACFD221","AE0000005AA0CE21","A50000005AC11021","9E0000005ABA0C21","340000005ABBC721","360000005AB20521","E40000005AAA3921","560000005ACD6D21","BF0000005ABAA021","D00000005AB81521","380000005ACC7621","C90000005A9E1921","DD0000005AA28921","780000005AA85D21","F10000005AAD4D21","6D0000005ABD9221","4C0000005AB2B921","ED0000005AAAF021","A50000005AB5E021","A40000005AA2A321","DE0000005AC54D21","B00000005AA30421","420000005ACB8521","AB0000005AC8B821","780000005AA3BE21","EB0000005ABD0321","980000005AB2F121","1A0000005AAC5121","5F0000005ABE1B21","9A0000005AADEC21","EB0000005AB28421","530000005AA8AE21","DF0000005AA86021","820000005ABF8321","D10000005ABCF421","F60000005AAED621","080000005ABA0521","D50000005AC59721","120000005AA96021","4B0000005AAD0721","3D0000005A9E7821","E80000005AA0A921","CB0000005AB2AD21","BA0000005A9D4721","1D0000005ACCFC21*","320000005AA5E521","C00000005AA2FE21","2C0000005A9D4E21","4E00000037B35C21","D20000003F5F6521","3800000040BC5D21","E00000003797C721","0D00000037866721","96000000386C2921","4900000060198221","8700000060243A21","F0000000208A0F21","2E0000003F6BAE21","3C0000003F7FC821","EC00000037A8A821","2A00000037B67C21","A5000000207D9121","B10000003F6A7721","1F0000002084B221","C7000000358C8421","9F00000037B3B721","1C00000035885421","5000000020835321","080000005A1D6D21"
2024-07-27 12:45:00,30,31,29,28,30,30,24,23.5,20,20.5,30,28,20.5,30,29,28.5,28.5,30.5,31,30,29.5,30,28.5,30,29.5,29.5,28,30,31,29.5,30.5,30,31,29.5,29.5,30.5,30,28.5,28.5,29,29,30,28.5,29,29,29,30,28,28,30.5,28.5,31,30,31,30,30.5,30.5,29.5,29.5,29,31,29.5,29.5,29.5,29.5,30,30.5,28.5,28.5,30.5,29.5,30.5,29.5,29.5,30,29,30.5,28.5,28.5,28.5,29,29,29,30.5,29.5,29.5,29.5,28,28.5,29,28.5,30.5,30.5,28,29,30,29,29.5,29,29.5,28.5,30.5,29.5,28.5,28.5,29.5,30,28.5,28,28,28,28.5,28,30,29.5,29,29,29,28.5,30,29,28.5,29,29.5,30.5,29,29.5,28,28.5,28.5,29,29,28.5,30,30,29,29,28.5,27.5,29.5,29,29,28,31,30.5,28.5,28,28.5,28.5,29,30,29,29,28.5,29,28.5,28.5,29,29.5,29,29.5,28,28.5,28,28,29,29,29,29,28.5,29.5,29.5,29.5,29.5,28.5,28.5,29.5,28.5,28,27.5,29,28,28.5,29,29,28.5,28,28.5,28,29,28,29,28,29.5,27.5,28.5,27.5,29
2024-07-27 12:50:00,30,30.5,29,28,30,30,24,23.5,20,20.5,30,28.5,20.5,30,29,28.5,28.5,30.5,31,30,29.5,30,28.5,29.5,29.5,29.5,28,30,30.5,29.5,30,30,31,29.5,30,30.5,30,29,28.5,29,29,29.5,28.5,29,29,29,30,28.5,28.5,30.5,28.5,30.5,30,31,30,30,30.5,29.5,29.5,29.5,31,29.5,29.5,30,29.5,30,30.5,29,28.5,30.5,30,30.5,29.5,29.5,30,29.5,30,28.5,29.5,28.5,29,29,29,30.5,29.5,29.5,29.5,28,28.5,28.5,28.5,30.5,30,28,29,30,29,29.5,29,29.5,29,30,30,28.5,29,29.5,30,28.5,28,28.5,28,28.5,28,30,29.5,29,29,29.5,28.5,30,29,28.5,29,30,30.5,29.5,29.5,28.5,28.5,29,29,29,29,29.5,29.5,29,29,28.5,28,29.5,29,29.5,28,30.5,30,28.5,28.5,29,28.5,29,30,29.5,29,28.5,29,28.5,29,29,29.5,29,29,28.5,28.5,28.5,28.5,29,29,29,29.5,29,29.5,29.5,29.5,29.5,28.5,29,29.5,28.5,28,28,29,28,29,29,29.5,28.5,28.5,29,28,29,28,29,28,29.5,27.5,29,28,29.5
2024-07-27 12:55:00,30,30.5,29,28.5,30,30,24,23.5,20,20.5,30,28.5,20.5,30,29,28.5,28.5,30.5,31,30,29.5,30,29,29.5,29.5,29.5,28.5,30,30.5,29.5,30,30,30.5,29.5,30,30.5,30,29,29,29,29,29.5,28.5,29.5,29,29,30,28.5,28.5,30,28.5,30.5,30,30.5,30,29.5,30,29.5,29.5,29.5,30.5,29.5,29.5,30,29.5,30,30,29,29,30,30.5,30.5,29.5,29.5,29.5,29.5,30,28.5,29.5,29,29,29,29,30.5,29.5,29.5,29.5,28.5,28.5,29,28.5,30.5,30,28,29,29.5,29,29.5,29,29.5,29,30,30,29,29,29.5,30.5,28.5,28.5,28.5,28.5,29,28.5,30,29.5,29,29,29.5,28.5,30,29.5,29,29,29.5,30.5,29.5,29.5,29,29,29,29.5,29.5,29,30,29.5,29,29,28.5,28,29.5,29,29.5,28.5,30,30,28.5,28.5,29,29,29,30,29.5,29,29,29,29,29,29.5,29.5,29,29,28.5,28.5,28.5,28.5,29.5,29,29,29.5,29,29.5,29.5,29.5,29.5,28.5,29,29.5,29,28.5,28,29,28,29,29,29.5,28.5,28.5,29,28.5,29,28.5,29,28,29.5,28,29,28,29.5
2024-07-27 13:00:00,30,30.5,29,28.5,30,30,24,23.5,19.5,20,29.5,28.5,20,30,29.5,29,28.5,30.5,31,30,29.5,30,29,29.5,29.5,29.5,28.5,30,30.5,29.5,30,30,30.5,29.5,30,30.5,30,29.5,29,29,29,29.5,28.5,29.5,29.5,29,30,29,28.5,30,28.5,30.5,30,30.5,30,29.5,30,29.5,29.5,29.5,30.5,29.5,29.5,30,29.5,30,30,29,29.5,30,30.5,30.5,30,30,29.5,29.5,30,28.5,29.5,29,29,29,29.5,30.5,30,29.5,29.5,28.5,29,29,28.5,30.5,30,28,29,30,29,29.5,29,29.5,29,30,30,29,29.5,29.5,30.5,29,28.5,29,28.5,29,28.5,30,30,29,29,29.5,29,30,29.5,29,29,29.5,30,29.5,29.5,29,29,29.5,29.5,29.5,29.5,30,29.5,29,29,29,28,29.5,29.5,29.5,28.5,30,30,29,29,29,29,29,30,30,29,29,29,29,29.5,30,30,29,29,28.5,29,29,29,29.5,29,29,30,29,30,29.5,29.5,29.5,28.5,29,29.5,29,28.5,28,29,28.5,29.5,29,29.5,28.5,28.5,29.5,28.5,29.5,28.5,29,28.5,29.5,28,29,28,29.5
2024-07-27 13:05:00,30,30.5,29,28.5,30,30,24,23.5,19.5,20,29.5,29,20,30,29.5,29,29,30.5,31,30,30,30,29,29.5,30,29.5,29,30,30.5,30,30,30.5,30.5,30,30,30.5,30.5,29.5,29.5,29.5,29.5,29.5,29,29.5,30,29,30,29,28.5,30,29,30.5,30,30.5,30,29.5,30,29.5,30,29.5,30.5,29.5,29.5,30,29.5,30,30,29,29.5,30,30.5,30,30,30,29.5,29.5,30,28.5,30,29.5,29.5,29,29.5,30.5,30,29.5,29.5,29,29,29.5,29,30.5,30,28,29,30,29,29.5,29,29.5,29,30,30,29.5,29.5,29.5,30.5,29,29,29,28.5,29,29,30,30,29,29.5,29.5,29,30,30,29,29.5,29.5,30,29.5,29.5,29.5,29.5,30,29.5,30,29.5,30.5,29.5,29.5,29,29,28.5,29.5,29.5,29.5,28.5,30,30,29,29,29,29.5,29,30,30,29.5,29,29,29.5,29.5,30,30,29.5,29,29,29,29,29,29.5,29.5,29,30,29.5,30,29.5,30,30,28.5,29,30,29.5,28.5,28.5,29,28.5,30,29,30,28.5,29,30,29,29.5,29,29.5,28.5,29.5,28,29.5,28.5,30
2024-07-27 13:10:00,30,30.5,29,28.5,30,30.5,24,23.5,19.5,19.5,29.5,29,20,30,30,29,29,30.5,31,30,30,30,29,29.5,30,29.5,29,30,30.5,30,30,30.5,30,30,30,30.5,30.5,29.5,29.5,29.5,29.5,29.5,29,30,30,29,30,29,29,30,29,30.5,30.5,30.5,30,29.5,30,29.5,30,30,30.5,29.5,29.5,30.5,29.5,30,30,29.5,30,30,30.5,30,30,30,29.5,29.5,30,28.5,30,30,29.5,29,29.5,30.5,30,29.5,29.5,29,29.5,29.5,29,30.5,30,28.5,29,30,29,29.5,29,29.5,29.5,30,30,29.5,30,29.5,30.5,29,29,29.5,29,29,29,30,30,29.5,29.5,30,29,30,30,29.5,29.5,30,30,29.5,29.5,30,29.5,30,30,30.5,30,30.5,29.5,29.5,29,29,28.5,29.5,30,29.5,29,30,30,29.5,29,29.5,29.5,29,30,30.5,29.5,29,29.5,29.5,30,30.5,30.5,29.5,29.5,29,29,29,29,30,29.5,29.5,30,29.5,30,29.5,30,30,29,29,30,29.5,28.5,28.5,29,28.5,30.5,29.5,30,28.5,29,30,29,29.5,29,29.5,28.5,29.5,28,29.5,28.5,30
2024-07-27 13:15:00,30,30.5,29.5,28.5,30,30.5,24,24,19.5,19.5,30,29.5,19.5,30.5,30,29.5,29,30.5,31,30.5,30,30.5,29,29.5,30,29.5,29.5,30,30.5,30,30.5,30.5,30,30,30,30.5,30.5,30,30,29.5,29.5,29.5,29.5,30,30.5,29.5,30,29.5,29,30,29,30.5,30.5,30.5,30.5,29.5,30,29.5,30,30,30.5,30,30,30.5,29.5,30,30,29.5,30,30,30.5,30,30,30.5,29.5,30,30,29,30,30,30,29,29.5,30.5,30,29.5,30,29.5,29.5,29.5,29,30.5,30,28.5,29.5,30,29.5,29.5,29.5,29.5,29.5,30,30.5,29.5,30,29.5,30.5,29.5,29.5,29.5,29,29,29.5,30,30,29.5,29.5,30,29.5,30,30.5,29.5,29.5,30,30,30,29.5,30,30,30,30,30.5,30,31,29.5,30,29,29,29,30,30,29.5,29,30,30,29.5,29,29.5,29.5,29.5,30,30.5,30,29,29.5,30,30.5,30.5,30.5,29.5,29.5,29,29.5,29.5,29,30,29.5,29.5,30.5,30,30,30,30,30,29,29.5,30,29.5,29,28.5,29.5,29,30.5,29.5,30.5,28.5,29,30.5,29,30,29,29.5,29,29.5,28.5,30,28.5,30
2024-07-27 13:20:00,30,30.5,29.5,28.5,30,30.5,25,24.5,19,19.5,30,29.5,19.5,30.5,30,29.5,29,30.5,31,30.5,30,30.5,29.5,29.5,30,30,29.5,30,30.5,30,30,30.5,30,30,30,30,30.5,30,30,29.5,30,29.5,29.5,30,30.5,29.5,30,29.5,29,30,29.5,30.5,30.5,30.5,30.5,29.5,30,30,30,30,30.5,30,30,30.5,29.5,30,30,29.5,30,30,30.5,30,30,30,29.5,30,30.5,29,30,30,30,29.5,29.5,30.5,30,30,30,29.5,30,30,29,30.5,30,28.5,29.5,30,29.5,29.5,29.5,29.5,29.5,30,30.5,29.5,30,29.5,30.5,29.5,29.5,29.5,29,29,29.5,30,30,29.5,29.5,30,29.5,30.5,30.5,29.5,29.5,30,30,30,29.5,30,29.5,30,30.5,30.5,30,30.5,29.5,29.5,29,29.5,29,30,30,30,29.5,30,30,29.5,29.5,29.5,29.5,29.5,30,30.5,30,29,29.5,30,30.5,30.5,30.5,29.5,29.5,29.5,29.5,29.5,29.5,30,30,29.5,30.5,30,30,30,30.5,30,29,29.5,30,30,29,29,29.5,29,30.5,29.5,30.5,29,29,30,29.5,30,29,29.5,29,29.5,28.5,30,28.5,30
2024-07-27 13:25:00,30,30.5,29.5,29,30,30.5,26,25.5,19,19.5,30,29.5,19.5,30.5,30.5,29.5,29.5,30,31,30.5,30,30.5,29.5,29.5,30,30,29.5,30,30.5,30,30,30.5,30,30,30,30,30,30,30,29.5,30,29.5,29.5,30.5,30.5,29.5,30,29.5,29,30,29.5,30.5,30.5,30.5,30.5,29.5,30,30,30,30,30.5,30,30,30.5,30,30,30,30,30,30,30.5,30.5,30.5,30,29.5,30,30.5,29,30.5,30,30,29.5,30,30.5,30.5,30,30,29.5,30,30,29,30,30,29,29.5,30,29.5,29.5,29.5,30,29.5,30,30.5,30,30,30,30.5,29.5,29.5,30,29,29.5,29.5,30,30,30,29.5,30,29.5,30.5,30.5,29.5,29.5,30,30,30,29.5,30,30,30,30.5,30.5,30.5,30.5,29.5,30,29,29.5,29,30,30,30,29.5,30,30,30,29.5,30,30,29.5,30,30.5,30,29,29.5,30,30.5,30.5,30.5,30,29.5,29.5,29.5,29.5,29.5,30.5,30,29.5,31,30,30,30,30.5,30,29,29.5,30,30,29,29,29.5,29,30.5,29.5,30.5,29,29.5,30,29.5,30,29.5,30,29,29.5,28.5,30,28.5,30
2024-07-27 13:30:00,30,30.5,30,29,30,30,26.5,26,19,19,30,29.5,19.5,30.5,30.5,30,29.5,30.5,31,30.5,30.5,30.5,29.5,29.5,30.5,30,29.5,30,30.5,30,30.5,30.5,30,30.5,30,30,30,30,30.5,29.5,30,29.5,30,30.5,30.5,29.5,30,30,29.5,30,29.5,30.5,30.5,30.5,30.5,29.5,30,30,30,30,30.5,30,30,31,30,30,30,30,30.5,30,30.5,30.5,30.5,30.5,29.5,30,30.5,29,31.5,30,30.5,29.5,30,30.5,30.5,30,30,29.5,30,30,29.5,30,30,29,30,30,30,29.5,29.5,30,30,30,30.5,30.5,30.5,30,30.5,30,30,30,29.5,29.5,29.5,30,30,30,29.5,30.5,29.5,30.5,31,30,29.5,30,30,30,30,30,30,30.5,30.5,30.5,30.5,30.5,29.5,30,29.5,30,29.5,30,30,30,29.5,30,30,30,29.5,30,30,29.5,30,31,30,29.5,30,30,30.5,31,31,30,29.5,29.5,30,29.5,30,30.5,30,30,31.5,30,30.5,30,30.5,30,29,30,30.5,30.5,29.5,29,29.5,29.5,30.5,29.5,30.5,29,29.5,30.5,29.5,30.5,30,30,29.5,30,29,30.5,29,30
2024-07-27 13:35:00,30,30.5,30,29,30.5,30,27,26.5,19,19,30,30,19,30.5,31,30,30,30.5,31,31,30.5,30.5,29.5,30,30.5,30,30,30,30.5,30.5,30.5,31,30,30.5,30,30,30,30.5,30.5,30,30,29.5,30,31,31,29.5,30,30,29.5,30,29.5,30.5,30.5,30.5,31,29.5,30,30,30.5,30,30.5,30,30,31,30,30,30,30,30.5,30,30.5,30.5,31,30.5,29.5,30,30.5,29,32,30.5,30.5,29.5,30.5,30.5,30.5,30,30.5,30,30.5,30.5,29.5,30,30,29,30,30,30,30,30,30.5,30,30,31,30.5,31,30,30.5,30,30,30.5,29.5,29.5,30,30,30,30,29.5,31,30,30.5,31,30,30,30,30,30,30,30.5,30,30.5,31,30.5,31,31,30,30.5,29.5,30,29.5,30,30.5,30,30,30,30,30.5,29.5,30,30.5,30,30,31,30.5,29.5,30,30.5,31,31,31,30,30,30,30.5,30,30,31,30.5,30,32,30.5,30.5,30.5,30.5,30.5,29.5,30,31,31,29.5,29.5,29.5,29.5,31,29.5,31,29,29.5,30.5,30,30.5,30,30.5,29.5,30,29,30.5,29,30
2024-07-27 13:40:00,30,30.5,30,29,30.5,30,27.5,27,19,19,30,30,19,31,31.5,30,30,30.5,31,31,31,30.5,30,30,31,30,30,30,30.5,30.5,30.5,31,30,31,30,30,30,30.5,31,30,30.5,30,30,31,31,30,30,30.5,29.5,30.5,30,30.5,31,30,31,29.5,30,30,30.5,30.5,30.5,30,30.5,31.5,30,30,30,30.5,31,30,30.5,30.5,31,30.5,30,30.5,30.5,29.5,32,30.5,30.5,30,30.5,30.5,31,30,30.5,30,30.5,30.5,29.5,30,30,29,30,30,30,30,30,30.5,30,30,31,31,31.5,30,30.5,30,30.5,30.5,30,29.5,30,30,30.5,30.5,30,31,30,30.5,31.5,30.5,30,30.5,30,30.5,30,30.5,30.5,30.5,31,31,31,31,30,30.5,29.5,30,29.5,30.5,30.5,30,30,30,30,30.5,30,30.5,30.5,30,30.5,31.5,30.5,29.5,30,30.5,31,31.5,31.5,30,30,30,30.5,30,30.5,31.5,30.5,30,32,30.5,31,30.5,30.5,30.5,29.5,30,31,31,29.5,29.5,30,29.5,31,29.5,31.5,29,29.5,30.5,30,31,30.5,30.5,30,30,29,31,29,30.5
2024-07-27 13:45:00,30,30.5,30.5,29.5,30.5,30,27.5,27,18.5,19,30,30,19,31,31.5,30.5,30,30.5,30.5,31,31,30.5,30,30,31,30.5,30,30,30.5,30.5,30.5,31,30,31,30,30,30,31,31,30,30.5,30,30.5,31,31,30,30,30.5,30,30.5,30,30.5,31,30.5,31,29.5,30.5,30,30.5,30.5,30.5,30,30.5,31.5,30,30,30,30.5,31,30,30.5,30.5,31,30.5,30,30.5,30.5,29.5,32,30.5,31,30,31,30.5,31,30,30.5,30,31,30.5,30,30,30,29.5,30.5,30.5,30.5,30,30,30.5,30,30,31,31,31,30,30.5,30.5,30.5,31,30,30,30,30.5,30.5,30.5,30,31,30,31,31.5,30.5,30,30.5,30,30.5,30,31,30.5,31,31.5,31,31.5,31,30,30.5,29.5,30.5,30,30.5,30.5,30.5,30,30,30,30.5,30,30.5,30.5,30,30.5,31.5,31,29.5,30,30.5,31,31.5,31.5,30.5,30.5,30,30.5,30,30.5,31.5,30.5,30.5,32,31,31,30.5,31,30.5,29.5,30.5,31,31.5,29.5,29.5,30,30,31.5,29.5,31.5,29.5,30,31,30,31,30.5,30.5,30,30.5,29,31,29.5,30.5
2024-07-27 13:50:00,30,30.5,30.5,29.5,30.5,30,28,27,18.5,19,30.5,30.5,19,31,31.5,30.5,30,30.5,31,31.5,31,30.5,30,30,31,30.5,30.5,30,30.5,31,30.5,31,30,31,30,30.5,30,31,31,30,30.5,30,30.5,31.5,31,30,30,31,30,30.5,30,30.5,31,30.5,31,30,30.5,30.5,30.5,30.5,30.5,30,30.5,31.5,30,30,30,30.5,31,30.5,30.5,30.5,31.5,30.5,30,30.5,31,29.5,32,30.5,31,30,31,30.5,31,30,30.5,30.5,31,30.5,30,30,30,29.5,30.5,30.5,30.5,30,30,30.5,30.5,30,31.5,31,31.5,30,30.5,30.5,30.5,31,30.5,30,30.5,30.5,30.5,30.5,30,31.5,30.5,31,31.5,30.5,30,30.5,30,30.5,30,31,30.5,31,31.5,31,31.5,31,30,30.5,30,30.5,30,30.5,30.5,30.5,30.5,30,30.5,31,30,30.5,31,30,30.5,31.5,31,30,30.5,31,31.5,31.5,32,30.5,30.5,30.5,31,30,31,31.5,30.5,30.5,32,31,31,31,31,30.5,30,30.5,31,31.5,30,30,30,30,31.5,29.5,31.5,29.5,30,31,30.5,31,30.5,30.5,30.5,30.5,29.5,31,29.5,30.5
2024-07-27 13:55:00,30,30.5,30.5,29.5,30.5,30,28,27.5,18.5,19,30.5,30.5,19,31,31.5,30.5,30,30.5,31,31.5,31,31,30,30,31,30.5,30.5,30,30.5,31,30.5,31,30,31,30,30.5,30,31,31.5,30.5,30.5,30,30.5,31.5,31,30,30,31,30,30.5,30,30.5,31,30.5,31,30,30.5,30.5,30.5,30.5,30.5,30,30.5,31.5,30.5,30,30,31,31,30.5,30.5,30.5,31.5,30.5,30,30.5,31,29.5,32,30.5,31.5,30,31,30.5,31,30.5,31,30.5,31,30.5,30,30.5,30,29.5,30.5,30.5,30.5,30,30.5,30.5,30.5,30,31.5,31,31,30,30.5,30.5,31,31,30.5,30,30.5,30.5,30.5,31,30,31.5,30.5,31,31.5,30.5,30,30.5,30,30.5,30,31,30.5,31,31.5,31,31.5,31,30,30.5,30,31,30,30.5,30.5,30.5,30.5,30.5,30.5,31,30,31,31,30.5,30.5,31.5,31,30,30.5,31,31.5,31.5,32,30.5,30.5,30.5,31,30.5,31,31.5,30.5,30.5,32,31,31,31,31,30.5,30,30.5,31,31.5,30,30,30,30,31.5,30,31.5,29.5,30,30.5,30.5,31,30.5,30.5,30.5,30.5,29.5,31,29.5,30.5
2024-07-27 14:00:00,30,30.5,30.5,29.5,30.5,30,28,27.5,19,19.5,30.5,30.5,19.5,31,31.5,31,30.5,30.5,31,31.5,31,30.5,30.5,30,31.5,30.5,30.5,30,30.5,31,30.5,31,30.5,31,30.5,30.5,30,31,31.5,30.5,30.5,30,30.5,31.5,31,30,30,31,30,30.5,30.5,30.5,31,30.5,31.5,30,30.5,30.5,30.5,31,30.5,30.5,30.5,31.5,30.5,30.5,30,31,31,30.5,30.5,30.5,31.5,30.5,30,31,31,30,32,30.5,31.5,30,31,30.5,31,30.5,31,30.5,31,30.5,30,30.5,30,30,30.5,30.5,30.5,30,30.5,30.5,30.5,30,31.5,31,31,30,30.5,30.5,31,31,30.5,30,30.5,30.5,30.5,31,30,31.5,30.5,31,31.5,30.5,30.5,30.5,30.5,30.5,30.5,31,30.5,31,32,31,31.5,31,30,30.5,30,31,30,30.5,30.5,30.5,30.5,30.5,30.5,31,30.5,31,31,30.5,30.5,31.5,31,30,30.5,31,31.5,31.5,32,30.5,30.5,30.5,31,30.5,31,32,30.5,31,32,31,31,31,31,30.5,30,30.5,31,31.5,30,30,30.5,30.5,31.5,30,31.5,29.5,30,30.5,30.5,31,30.5,30.5,30.5,30.5,29.5,31,29.5,31
2024-07-27 14:05:00,30,30.5,30.5,29.5,30.5,30,28,27.5,19,19.5,30.5,30.5,19.5,31,31.5,31,30.5,30.5,31,31.5,31,31,30.5,30,31.5,30.5,30.5,30,30.5,31,30.5,31,30.5,31,30.5,30.5,30,31,31.5,30.5,31,30,30.5,31.5,31,30,30.5,31,30.5,30.5,30.5,30.5,31,30.5,31.5,30,30.5,30.5,30.5,31,30.5,30.5,30.5,31.5,30.5,30.5,30,31,31,30.5,30.5,31,31.5,30.5,30,31,31,30,32,30.5,31.5,30,31,31,31.5,30.5,31,30.5,31,30.5,30.5,30.5,30,30,30.5,30.5,31,30,30.5,30.5,30.5,30,31.5,31,31,30.5,30.5,30.5,31,31.5,30.5,30,30.5,30.5,31,31,30,31.5,30.5,31,31.5,30.5,30.5,30.5,30.5,30.5,30.5,31,30.5,31,32,31,31.5,31,30.5,30.5,30,31,30.5,30.5,31,31,30.5,30.5,30.5,31,30.5,31,31,30.5,30.5,31.5,31,30,30.5,31,31.5,31.5,32,30.5,30.5,30.5,31,30.5,31,31.5,30.5,31,32,31,31,31,31,30.5,30.5,30.5,31,31.5,30.5,30,30.5,30.5,31.5,30,31.5,29.5,30,31,31,31,30.5,30.5,30.5,30.5,30,31,30,31
2024-07-27 14:10:00,30,30.5,31,30,30.5,30,28,27.5,19,19.5,30.5,30.5,20,31.5,31.5,31,30.5,30.5,31,31.5,31,30.5,30.5,30,31.5,30.5,30.5,30,30.5,31,30.5,31,30.5,31,30.5,30.5,30,31,31.5,30.5,31,30.5,30.5,31.5,31.5,30.5,30.5,31,30.5,31,30.5,30.5,31,30.5,31.5,30,30.5,30.5,30.5,31,31,30.5,30.5,31.5,30.5,30.5,30,31,31,30.5,30,31,31.5,30.5,30,31,31,30,32,30.5,31.5,30.5,31,31,31.5,30.5,31,30.5,31.5,30.5,30.5,30.5,30,30,30.5,30.5,31,30,30.5,30.5,30.5,30,31.5,31,31,30.5,30.5,30.5,31,31.5,31,30.5,30.5,30.5,31,31,30,31.5,30.5,31,31.5,30.5,30.5,30.5,30.5,30.5,30.5,31,30.5,31,32,31,31.5,31,30.5,30.5,30.5,31,30.5,31,31,31,30.5,30.5,30.5,31,30.5,31,31.5,30.5,30.5,31.5,31,30,30,31,31.5,32,32,31,30.5,30.5,31,30.5,31,32,30.5,31,32,31,31,31,31,30.5,30.5,30.5,31,31.5,30.5,30.5,30.5,30.5,31,30,31.5,29.5,30,31,31,31,30.5,30.5,30.5,30.5,30,31.5,30,31
2024-07-27 14:15:00,30.5,30.5,31,30,30.5,30,27.5,27,19.5,20,30.5,31,20,31.5,31.5,31,30.5,30.5,31,31.5,31.5,31,30.5,30.5,31.5,30.5,30.5,30,30.5,31,31,31.5,30.5,31,30.5,30.5,30.5,31,31.5,30.5,31,30.5,31,31.5,31.5,30.5,30.5,31.5,30.5,31,30.5,30.5,31,30.5,31.5,30,30.5,30.5,31,31,31,30.5,31,31.5,30.5,30.5,30,31,31.5,30.5,30.5,31,31.5,31,30.5,31,31,30,32,31,31.5,30.5,31,31,31.5,30.5,31,30.5,31.5,31,30.5,30.5,30.5,30,30.5,30.5,31,30.5,30.5,31,31,30.5,31.5,31.5,31,30.5,30.5,31,31,31.5,31,30.5,31,30.5,31,31,30,31.5,30.5,31.5,32,30.5,30.5,30.5,30.5,31,30.5,31,30.5,31.5,32,31.5,31.5,31.5,30.5,30.5,30.5,31,30.5,31,31,31,31,30.5,30.5,31.5,30.5,31,31.5,30.5,31,32,31,30.5,30.5,31,31.5,32,32,31,30.5,31,31,30.5,31,32,30.5,31,32,31,31,31,31,30.5,30.5,30.5,31,31.5,30.5,30.5,30.5,30.5,31.5,30,31.5,29.5,30.5,31,31,31,30.5,30.5,30.5,30.5,30,31.5,30,31
